RoiIndex,PointIndex,X,Y
0,0,103,58
0,1,103,61
0,2,102,64
0,3,101,67
0,4,99,70
0,5,97,72
0,6,95,74
0,7,93,75
0,8,90,76
0,9,87,76
0,10,85,76
0,11,82,75
0,12,80,74
0,13,78,72
0,14,76,70
0,15,74,67
0,16,73,64
0,17,72,61
0,18,72,58
0,19,72,55
0,20,73,52
0,21,74,49
0,22,76,46
0,23,78,44
0,24,80,42
0,25,82,41
0,26,85,40
0,27,87,40
0,28,90,40
0,29,93,41
0,30,95,42
0,31,97,44
0,32,99,46
0,33,101,49
0,34,102,52
0,35,103,55
1,0,166,75
1,1,166,78
1,2,165,81
1,3,164,83
1,4,163,85
1,5,161,87
1,6,159,89
1,7,157,90
1,8,154,91
1,9,152,91
1,10,150,91
1,11,147,90
1,12,145,89
1,13,143,87
1,14,141,85
1,15,140,83
1,16,139,81
1,17,138,78
1,18,138,75
1,19,138,73
1,20,139,70
1,21,140,68
1,22,141,66
1,23,143,64
1,24,145,62
1,25,147,61
1,26,150,60
1,27,152,60
1,28,154,60
1,29,157,61
1,30,159,62
1,31,161,64
1,32,163,66
1,33,164,68
1,34,165,70
1,35,166,73
2,0,92,117
2,1,92,120
2,2,91,123
2,3,90,126
2,4,88,128
2,5,87,130
2,6,85,132
2,7,82,133
2,8,80,134
2,9,77,134
2,10,74,134
2,11,72,133
2,12,69,132
2,13,67,130
2,14,66,128
2,15,64,126
2,16,63,123
2,17,62,120
2,18,62,117
2,19,62,115
2,20,63,112
2,21,64,109
2,22,66,107
2,23,67,105
2,24,69,103
2,25,72,102
2,26,74,101
2,27,77,101
2,28,80,101
2,29,82,102
2,30,84,103
2,31,87,105
2,32,88,107
2,33,90,109
2,34,91,112
2,35,92,115
3,0,148,132
3,1,148,135
3,2,147,137
3,3,146,139
3,4,145,142
3,5,143,143
3,6,141,145
3,7,139,146
3,8,136,147
3,9,134,147
3,10,132,147
3,11,129,146
3,12,127,145
3,13,125,143
3,14,123,142
3,15,122,139
3,16,121,137
3,17,120,135
3,18,120,132
3,19,120,129
3,20,121,127
3,21,122,125
3,22,123,122
3,23,125,121
3,24,127,119
3,25,129,118
3,26,132,117
3,27,134,117
3,28,136,117
3,29,139,118
3,30,141,119
3,31,143,121
3,32,145,122
3,33,146,125
3,34,147,127
3,35,148,129
4,0,2,135
4,1,28,135
4,2,28,199
4,3,2,199
